File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lto-llvm-bec5ac.o,93.993195%,67974,11435,67728,90,156,11279
mf_w.l,2.403275%,1738,0,1738,0,0,0
startup_at32f415.o,0.558644%,404,1024,36,368,0,1024
dadd.o,0.461849%,334,0,334,0,0,0
mc_w.l,0.320805%,232,0,232,0,0,0
dmul.o,0.315274%,228,0,228,0,0,0
depilogue.o,0.257197%,186,0,186,0,0,0
fadd.o,0.243370%,176,0,176,0,0,0
fepilogue.o,0.152106%,110,0,110,0,0,0
fmul.o,0.138278%,100,0,100,0,0,0
dfixi.o,0.085732%,62,0,62,0,0,0
d2f.o,0.077436%,56,0,56,0,0,0
dcmpgt.o,0.074670%,54,0,54,0,0,0
dcmpge.o,0.074670%,54,0,54,0,0,0
ffixi.o,0.069139%,50,0,50,0,0,0
dfixui.o,0.069139%,50,0,50,0,0,0
init.o,0.066374%,48,0,48,0,0,0
ffixui.o,0.055311%,40,0,40,0,0,0
f2d.o,0.052546%,38,0,38,0,0,0
memseta.o,0.049780%,36,0,36,0,0,0
llsshr.o,0.049780%,36,0,36,0,0,0
dflti.o,0.047015%,34,0,34,0,0,0
llushr.o,0.044249%,32,0,32,0,0,0
llshl.o,0.041483%,30,0,30,0,0,0
handlers.o,0.041483%,30,0,30,0,0,0
fcmplt.o,0.038718%,28,0,28,0,0,0
fcmple.o,0.038718%,28,0,28,0,0,0
fcmpgt.o,0.038718%,28,0,28,0,0,0
fcmpge.o,0.038718%,28,0,28,0,0,0
dfltui.o,0.035952%,26,0,26,0,0,0
fflti.o,0.024890%,18,0,18,0,0,0
ffltui.o,0.013828%,10,0,10,0,0,0
entry9a.o,0.011062%,8,0,8,0,0,0
entry2.o,0.011062%,8,0,8,0,0,0
entry5.o,0.005531%,4,0,4,0,0,0
